8.416.754,75.921.057,21.635.259,2
8.725.890,63.813.564,19.718.734,2
0,197.210.213,19.045.471,3
8.733.333,143.636.181,17.621.141,2
1.747.626,82.636.672,12.209.535,3
-6.541.057,19.726.047,9.215.187,1
-2.937.162,146.911.825,2.796.695,2
0,127.461.258,14.401.656,3
8.733.333,14.768.375,19.007.228,2
8.733.333,24.101.633,6.041.166,1
-7.870.026,196.319.242,18.483.607,2
8.733.333,99.359.884,1.556.615,2
8.646.395,4.482.731,8.333.426,1
2.430.914,10.766.310,5.899.728,2
8.562.789,28.174.760,3.364.266,1
-8.669.496,178.694.862,13.881.991,3
0,93.164.015,6.960.246,3
8.690.040,112.171.348,21.100.461,2
6.422.720,98.891.269,10.970.828,2
8.733.333,13.557.098,16.249.387,2
0,179.529.308,280.625,2
0,57.713.062,13.317.770,3
8.733.333,53.809.363,12.681.929,3
8.733.333,118.838.835,17.762.334,2
4.982.862,95.175.805,14.409.297,3
5.854.899,73.662.208,19.321.025,3
8.700.974,131.122.218,19.852.204,1
0,187.640.081,3.349.123,2
4.748.462,124.085.037,4.236.762,2
-6.274.239,56.568.018,17.401.464,3
3.704.673,41.036.250,1.335.512,2
-4.828.968,87.826.816,8.576.198,2
-3.984.177,5.450.044,6.599.249,2
0,175.236.867,16.151.958,3
-4.333.333,122.018.449,2.292.604,2
8.733.333,40.718.476,17.436.661,2
5.728.301,103.983.365,17.220.037,3
3.509.007,10.764.860,11.712.749,2
8.552.795,172.437.486,5.573.752,1
-4.346.551,88.586.933,1.561.001,3
4.691.008,109.601.831,13.767.673,3
4.833.042,113.372.166,542.992,2
8.509.907,136.078.998,1.364.935,1
7.387.691,74.275.716,2.851.464,2
-4.352.375,15.645.742,9.913.510,2
0,91.270.145,14.791.389,4
999.438,9.568.760,18.834.438,3
4.726.229,147.651.398,10.965.799,2
6.638.480,7.600.307,1.073.259,1
8.617.869,190.848.865,6.904.312,1
-4.130.052,148.474.467,14.115.886,3
5.011.175,187.489.913,17.300.506,2
4.747.456,102.672.797,6.361.311,2
-4.339.555,48.180.960,10.953.096,2
-4.401.719,51.993.056,18.005.562,2
856.096,151.794.832,13.092.822,3
8.733.333,198.668.553,11.801.341,2
1.488.913,71.341.150,7.279.209,3
4.666.667,150.571.568,9.057.185,2
0,22.009.699,17.468.137,3
8.646.427,119.409.046,7.550.581,2
-4.410.221,86.119.040,10.177.348,3
0,146.143.603,8.092.121,2
4.878.965,52.235.234,14.950.554,3
8.654.423,18.961.536,12.491.139,2
8.733.333,90.192.698,14.339.091,3
3.408.028,128.014.902,10.804.502,2
-4.408.636,26.407.763,8.766.081,2
0,90.564.486,10.504.653,3
-4.412.917,130.439.920,1.464.928,2
8.678.967,165.399.666,9.042.627,1
-5.426.449,61.615.382,21.320.023,3
8.599.018,80.472.716,17.175.863,3
-8.457.627,176.846.263,16.038.394,3
8.733.333,140.115.902,16.844.314,2
4.699.808,48.374.459,16.644.778,3
-4.359.020,151.966.363,18.551.947,2
-4.406.177,58.185.147,16.943.451,3
0,55.487.744,21.530.540,3
1.245.285,1.221.561,2.449.908,2
0,74.942.228,8.713.693,3
8.500.816,87.386.556,10.825.334,2
2.229.693,60.859.694,5.678.082,3
4.666.667,58.172.066,813.257,2
8.733.333,48.503.262,21.436.389,2
794.381,187.336.722,15.981.372,3
8.595.040,172.038.048,3.255.226,1
6.968.751,79.445.652,3.253.680,2
3.332.657,95.883.821,15.506.130,3
4.666.667,112.999.219,8.381.857,2
-4.333.333,97.923.878,1.681.052,2
-4.409.025,53.962.327,9.038.488,2
4.666.667,197.948.028,3.145.792,2
8.622.435,36.735.139,17.576.243,2
8.655.717,172.331.345,20.465.460,1
-4.373.609,6.526.514,103.829,2
2.645.752,66.391.604,14.300.893,3
0,149.749.399,14.927.714,3
0,128.873.292,5.579.703,2
0,33.847.593,18.549.980,3
-4.339.415,190.441.020,6.467.093,2
8.719.198,108.654.047,590.928,2
3.119.855,50.282.695,2.052.758,2
0,115.714.462,17.553.469,3
0,183.095.320,15.650.858,3
4.667.110,179.119.305,17.234.949,2
-5.393.194,96.501.323,13.726.298,3
4.744.786,88.547.996,18.159.140,3
5.396.578,62.350.990,770.497,2
8.669.639,11.062.754,8.920.449,1
0,150.758.355,5.492.713,2
-4.344.878,26.389.496,10.579.731,2
-4.385.618,71.184.424,19.378.461,3
8.733.333,79.174.193,6.175.066,2
0,177.104.245,13.181.135,3
8.733.333,4.247.910,576.975,1
4.666.667,168.816.144,3.414.371,2
8.733.333,57.614.129,18.346.039,2
-4.333.333,50.068.577,4.287.654,2
4.685.234,97.675.927,18.255.337,3
-4.333.333,145.807.223,7.437.647,2
8.733.333,40.523.219,14.764.564,2
-4.401.856,43.255.241,1.152.059,2
5.552.935,195.266.903,16.154.799,2
8.447.607,118.647.158,10.988.599,2
8.733.333,60.880.716,20.752.599,2
-7.762.508,193.540.577,6.374.993,1
4.778.407,179.193.966,8.284.329,1
-4.415.686,38.005.095,2.502.618,2
8.470.195,359.865,21.226.716,1
0,142.352.753,9.515.254,2
8.733.333,173.545.358,1.860.390,1
-4.349.256,23.661.582,15.766.881,3
-4.713.469,7.804.595,11.149.322,2
-6.491.008,119.638.905,7.217.930,2
-8.731.681,120.862.701,16.577.531,3
8.733.333,103.286.482,18.392.128,3
3.294.140,1.501.481,5.581.760,2
0,137.786.673,11.757.350,3
-4.576.871,189.204.075,9.573.635,2
8.426.321,174.707.291,3.469.491,1
4.682.613,22.655.291,13.210.586,2
0,70.913.868,20.623.917,4
4.667.353,48.387.366,2.370.689,2
4.773.039,112.066.662,19.799.592,2
-8.698.303,122.545.422,12.110.230,2
-4.395.341,60.161.818,9.401.847,2
-4.421.942,159.628.343,3.352.378,2
0,159.128.325,5.446.012,2
-4.397.278,156.218.453,9.842.113,2
4.733.943,70.219.686,11.721.236,3
-8.723.702,10.859.471,7.802.325,1
8.733.333,141.740.923,17.008.526,2
8.733.333,198.585.688,19.396.985,2
4.666.667,32.495.297,16.150.026,2
4.443.272,22.713.268,8.941.509,2
0,182.575.085,13.291.932,3
8.733.333,96.331.396,14.104.311,3
0,170.361.190,2.804.270,2
-4.333.333,161.982.761,10.916.224,2
8.631.714,37.351.909,6.830.326,1
4.807.981,49.439.971,12.728.638,3
-8.465.044,10.837.768,20.759.397,1
0,121.792.291,9.392.671,3
-8.656.889,155.446.486,728.826,1
-4.333.333,102.212.818,20.447.545,3
8.733.333,5.550.018,20.349.610,1
8.733.333,198.077.056,7.882.752,1
4.666.667,100.187.985,5.719.761,2
-8.712.788,66.399.497,17.310.912,3
-4.390.138,34.776.628,11.254.809,2
4.712.156,125.127.279,12.375.597,2
8.733.333,115.026.967,15.065.463,3
-4.333.333,150.197.077,2.032.725,2
0,30.703.760,19.196.737,3
-5.287.506,71.357.439,20.744.633,3
4.733.317,28.790.160,2.125.073,1
4.650.340,170.121.531,18.609.415,2
4.729.755,67.573.948,20.006.704,3
4.686.898,55.039.299,249.505,2
4.675.953,1.202.195,11.521.019,2
1.986.337,160.382.394,14.307.596,3
8.691.939,99.481.657,8.473.198,2
-4.353.895,107.568.568,14.284.645,3
3.917.318,174.182.505,16.782.777,2
-4.432.139,144.568.714,12.665.092,2
4.788.694,133.617.186,13.902.221,2
0,35.765.558,6.120.488,2
5.730.405,110.099.071,18.476.401,2
